predicted labels,true labels,accuracy,block,item,condition
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
0,0.0,1.0,1,0,wrong bias
1,0.0,0.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
1,0.0,0.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,1,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
1,0.0,0.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
0,0.0,1.0,1,2,wrong bias
